Gene,BaseGeneMean,OutlierFactor,GeneMean,BatchFacBatch1,BatchFacBatch2,BatchFacBatch3,BatchFacBatch4,BatchFacBatch5,DEFacGroup1,DEFacGroup2,true_log2_fc,sparsity
Gene1,0.185116694660898,1,0.185116694660898,2.60230782394155,0.536963897759936,1.94607423216053,0.630489747052719,0.840319680369984,1,1,0,0.8735
Gene2,0.081314942186395,1,0.081314942186395,0.43661660866298,2.06965798527851,1.84107613751898,1.93844636949724,0.811059924020364,1,1,0,0.942
Gene3,0.227105636081329,1,0.227105636081329,2.63739883436211,1.31594654679618,2.38896440192507,2.11709558969852,0.654185917567725,1,1,0,0.8205
Gene4,0.138621864376666,1,0.138621864376666,1.92842158308779,0.589165591369635,2.2625318268593,0.755827300826602,0.772600461203084,1,1,0,0.912
Gene5,0.224118822187782,1,0.224118822187782,0.479284438755462,1.37120658034639,0.567929447710017,1.7803523240379,1.46178831529523,1,1,0,0.863
Gene6,0.240618992582746,1,0.240618992582746,0.346486879339402,2.57336819597618,0.508249894371982,0.472995472142854,2.22755619781935,1,1,0,0.854
Gene7,0.0904181883612715,1,0.0904181883612715,2.47196401659323,1.613526213336,1.33567322448418,0.633237687185536,1.20493166654048,1,1,0,0.934
Gene8,0.336128345017932,1,0.336128345017932,0.385508048435789,1.78639202559477,0.48136547179886,2.27044230479155,0.57328436908833,1,1,0,0.804
Gene9,0.0224300572222168,1,0.0224300572222168,1.25197451136262,1.57128749474844,0.315738070796751,0.604509807090829,0.783683244115984,1,1,0,0.986
Gene10,0.40170074375222,1,0.40170074375222,0.347229650730365,1.42094566395007,0.59336248266895,0.509115061846651,1.78867121349312,1,1,0,0.804
Gene11,0.179521053193827,1,0.179521053193827,0.506099821225241,0.681576448547686,2.46594686353498,1.63523386633114,1.43571240098294,1,1,0,0.876
Gene12,1.64397625507046,1,1.64397625507046,0.373029796135712,1.24654191913635,0.559274059487069,0.712887713309539,1.40988817452296,1,1,0,0.5395
Gene13,0.208357978288563,22.4396066882928,4.13107686742778,0.516446883981105,0.474023369961613,0.275108575395068,1.89829531152644,1.39892165689564,1,1,0,0.324
Gene14,0.0233294494931612,1,0.0233294494931612,0.661230770114997,0.682444299742683,0.502247793999012,0.418033656303866,0.688576799550915,1,1,0,0.994
Gene15,0.415846322618837,1,0.415846322618837,0.470627778409097,0.711446412084615,0.551498981500217,1.19788834402218,1.39881419287256,1,1,0,0.829
Gene16,0.279772358338028,7.2613958260734,1.33680526307882,0.359948688822044,1.43771611539176,1.669440472165,1.92901302998262,1.36262326369045,1,1,0,0.4205
